user_id,rank,item_id,score,support_item_ids
1,1,1486,1.1659845268486344,
1,2,1494,1.1659845268486344,
1,3,1493,1.1659845268486344,
1,4,852,1.1336134787792855,
1,5,830,1.1336134787792855,
2,1,852,0.5023458401272872,
2,2,830,0.5023458401272872,
2,3,784,0.2642583469960578,
2,4,1648,0.23881048159622284,
2,5,1634,0.23881048159622284,
3,1,852,0.3842442100764052,
3,2,830,0.3842442100764052,
3,3,1678,0.31321072818640894,
3,4,897,0.2583834531996463,
3,5,1671,0.2371104230644661,
4,1,1678,0.342627893547647,
4,2,852,0.32550133684786886,
4,3,830,0.32550133684786886,
4,4,1671,0.272942271657052,
4,5,897,0.2245805176687326,
5,1,1567,1.714526756719093,
5,2,1572,1.714526756719093,
5,3,1559,1.714526756719093,
5,4,1584,1.714526756719093,
5,5,1587,1.714526756719093,
6,1,830,1.0465837081379736,
6,2,852,1.0465837081379736,
6,3,1659,0.9784324041096615,
6,4,599,0.9756158845423644,
6,5,784,0.7570332929206766,
7,1,852,3.4704446671622073,
7,2,830,3.4704446671622073,
7,3,784,3.239740420743141,
7,4,1570,3.0090361743240788,
7,5,1569,3.0090361743240788,
8,1,830,0.3414893075996085,
8,2,852,0.3414893075996085,
8,3,1621,0.25597448927875566,
8,4,599,0.24683593216561817,
8,5,784,0.23756252193815533,
9,1,852,0.1781733074741065,
9,2,830,0.1781733074741065,
9,3,784,0.10550946478021024,
9,4,1671,0.10113387941650154,
9,5,599,0.10052620430780626,
10,1,852,1.3060380133177198,
10,2,830,1.3060380133177198,
10,3,599,1.1499184176948933,
10,4,784,1.0029632524617913,
10,5,1659,0.9897078283283216,
11,1,830,0.9465716237863213,
11,2,852,0.9465716237863213,
11,3,784,0.9253433677583973,
11,4,1581,0.9041151117304735,
11,5,1586,0.9041151117304735,
12,1,1621,0.22485864091057448,
12,2,830,0.2055828470545964,
12,3,852,0.2055828470545964,
12,4,599,0.19308469223716151,
12,5,784,0.19124752640607293,
13,1,1581,4.623507682721775,
13,2,1582,4.623507682721775,
13,3,1583,4.623507682721775,
13,4,1584,4.623507682721775,
13,5,1565,4.623507682721775,
14,1,852,0.5575249105544331,
14,2,830,0.5575249105544331,
14,3,1659,0.48052987672459935,
14,4,784,0.45568337803081205,
14,5,599,0.37939239697479077,
15,1,1373,0.4738403762268496,
15,2,1329,0.4738403762268496,
15,3,1341,0.4738403762268496,
15,4,1340,0.4738403762268496,
15,5,1339,0.4738403762268496,
16,1,852,0.7938258066011294,
16,2,830,0.7938258066011294,
16,3,599,0.7087210469441079,
16,4,784,0.6865664543271721,
16,5,1621,0.6526388827110232,
17,1,852,0.05983169125236062,
17,2,830,0.05983169125236062,
17,3,1373,0.056203976285474175,
17,4,1363,0.056203976285474175,
17,5,1320,0.056203976285474175,
18,1,830,1.6591934868020155,
18,2,852,1.6591934868020155,
18,3,784,1.563419476809844,
18,4,1561,1.4676454668176733,
18,5,1584,1.4676454668176733,
19,1,852,0.09332356364013226,
19,2,830,0.09332356364013226,
19,3,784,0.06613177468868767,
19,4,599,0.06016058912286498,
19,5,1659,0.05984429282719379,
20,1,1626,0.13645930926734579,
20,2,830,0.12650962799600948,
20,3,852,0.12650962799600948,
20,4,599,0.11406077290826243,
20,5,784,0.09905341880138635,
21,1,852,2.1756277180104666,
21,2,830,2.1756277180104666,
21,3,784,1.8723897644154601,
21,4,1567,1.5691518108204539,
21,5,1546,1.5691518108204539,
22,1,1493,0.9599561501944522,
22,2,1494,0.9599561501944522,
22,3,1486,0.9599561501944522,
22,4,1626,0.760061322973721,
22,5,852,0.7347392871620679,
23,1,830,0.7503801293083361,
23,2,852,0.7503801293083361,
